,DATE,EQUIPE1,EQUIPE2,SCORE1,SCORE2
0,2009-01-02,Heat,Magic,76,86
1,2009-01-02,Rockets,Raptors,73,94
2,2009-01-02,Wizards,Celtics,83,108
3,2009-01-02,Bulls,Cavaliers,92,117
4,2009-01-02,Hawks,Nets,91,93
5,2009-01-02,Pacers,Knicks,105,103
6,2009-01-02,Kings,Pistons,92,98
7,2009-01-02,Spurs,Grizzlies,91,80
8,2009-01-02,Warriors,Timberwolves,108,115
9,2009-01-02,Nuggets,Thunder,122,120
10,2009-01-02,76ers,Mavericks,86,96
11,2009-01-02,Bobcats,Bucks,75,103
12,2009-01-02,Clippers,Suns,98,106
13,2009-01-02,Hornets,Trail Blazers,92,77
14,2009-01-02,Jazz,Lakers,100,113
15,2009-01-03,Rockets,Hawks,100,103
16,2009-01-03,Bucks,Bobcats,92,102
17,2009-01-03,Kings,Pacers,117,122
18,2009-01-03,Nets,Heat,96,101
19,2009-01-03,Timberwolves,Bulls,102,92
20,2009-01-03,76ers,Spurs,106,108
21,2009-01-03,Hornets,Nuggets,100,105
22,2009-01-04,Magic,Raptors,102,108
23,2009-01-04,Cavaliers,Wizards,77,80
24,2009-01-04,Pistons,Clippers,88,87
25,2009-01-04,Mavericks,Grizzlies,82,102
26,2009-01-04,Celtics,Knicks,88,100
27,2009-01-04,Trail Blazers,Lakers,86,100
28,2009-01-05,Spurs,Heat,91,84
29,2009-01-05,Kings,Nets,90,98
30,2009-01-05,Raptors,Bucks,97,107
31,2009-01-05,Pacers,Nuggets,115,135
32,2009-01-05,Warriors,Jazz,114,119
33,2009-01-06,Celtics,Bobcats,106,114
34,2009-01-06,Wizards,Magic,80,89
35,2009-01-06,Rockets,76ers,96,104
36,2009-01-06,Timberwolves,Grizzlies,94,87
37,2009-01-06,Knicks,Thunder,99,107
38,2009-01-06,Kings,Bulls,94,99
39,2009-01-06,Clippers,Mavericks,102,107
40,2009-01-06,Hornets,Lakers,116,105
41,2009-01-07,Magic,Hawks,106,102
42,2009-01-07,Bobcats,Cavaliers,81,111
43,2009-01-07,Raptors,Wizards,99,93
44,2009-01-07,Rockets,Celtics,89,85
45,2009-01-07,Grizzlies,Nets,89,100
46,2009-01-07,76ers,Bucks,110,105
47,2009-01-07,Thunder,Timberwolves,87,129
48,2009-01-07,Heat,Nuggets,97,108
49,2009-01-07,Pacers,Suns,113,110
50,2009-01-07,Hornets,Jazz,90,116
51,2009-01-07,Pistons,Trail Blazers,83,84
52,2009-01-07,Lakers,Warriors,114,106
53,2009-01-08,Knicks,Mavericks,94,99
54,2009-01-08,Clippers,Spurs,84,106
55,2009-01-09,Hawks,Magic,87,121
56,2009-01-09,Bobcats,76ers,87,93
57,2009-01-09,Grizzlies,Raptors,82,103
58,2009-01-09,Celtics,Cavaliers,83,98
59,2009-01-09,Clippers,Hornets,80,107
60,2009-01-09,Rockets,Thunder,98,96
61,2009-01-09,Wizards,Bulls,86,98
62,2009-01-09,Nets,Bucks,102,104
63,2009-01-09,Pistons,Nuggets,93,90
64,2009-01-09,Heat,Kings,119,115
65,2009-01-09,Pacers,Lakers,119,121
66,2009-01-09,Mavericks,Suns,100,128
67,2009-01-10,Bobcats,Wizards,92,89
68,2009-01-10,Bucks,Timberwolves,104,106
69,2009-01-10,Thunder,Bulls,109,98
70,2009-01-10,Knicks,Rockets,76,96
71,2009-01-10,Pistons,Jazz,82,99
72,2009-01-10,Warriors,Trail Blazers,100,113
73,2009-01-11,Celtics,Raptors,94,88
74,2009-01-11,76ers,Hawks,109,94
75,2009-01-11,Suns,Clippers,109,103
76,2009-01-11,Magic,Spurs,105,98
77,2009-01-11,Pacers,Warriors,117,120
78,2009-01-11,Mavericks,Kings,95,102
79,2009-01-11,Heat,Lakers,105,108
80,2009-01-12,Bucks,Wizards,97,91
81,2009-01-12,Raptors,Celtics,109,115
82,2009-01-12,Thunder,Nets,99,103
83,2009-01-12,Knicks,Hornets,101,95
84,2009-01-12,Trail Blazers,Bulls,109,95
85,2009-01-12,Pacers,Jazz,113,120
86,2009-01-13,Bobcats,Pistons,80,78
87,2009-01-13,Cavaliers,Grizzlies,102,87
88,2009-01-13,Heat,Timberwolves,99,96
89,2009-01-13,Lakers,Rockets,105,100
90,2009-01-13,Mavericks,Nuggets,97,99
91,2009-01-13,Hawks,Suns,102,107
92,2009-01-13,Magic,Kings,139,107
93,2009-01-14,Pistons,Pacers,106,110
94,2009-01-14,Trail Blazers,76ers,79,100
95,2009-01-14,Bulls,Raptors,102,98
96,2009-01-14,Nets,Celtics,86,118
97,2009-01-14,Wizards,Knicks,122,128
98,2009-01-14,Heat,Bucks,102,99
99,2009-01-14,Jazz,Thunder,93,114
100,2009-01-14,Hornets,Mavericks,104,97
101,2009-01-14,Lakers,Spurs,111,112
102,2009-01-14,Kings,Warriors,135,133
103,2009-01-14,Hawks,Clippers,97,80
104,2009-01-15,Trail Blazers,Nets,105,99
105,2009-01-15,Cavaliers,Bulls,93,102
106,2009-01-15,Suns,Nuggets,113,119
107,2009-01-16,Raptors,Pacers,104,111
108,2009-01-16,Spurs,76ers,87,109
109,2009-01-16,Knicks,Wizards,89,96
110,2009-01-16,Hornets,Cavaliers,78,92
111,2009-01-16,Jazz,Grizzlies,101,91
112,2009-01-16,Pistons,Thunder,79,89
113,2009-01-16,Timberwolves,Suns,105,103
114,2009-01-16,Bucks,Kings,129,122
115,2009-01-16,Hawks,Warriors,114,119
116,2009-01-16,Magic,Lakers,109,103
117,2009-01-17,Celtics,Nets,105,85
118,2009-01-17,Trail Blazers,Bobcats,97,102
119,2009-01-17,Hornets,Pistons,91,85
120,2009-01-17,76ers,Knicks,107,97
121,2009-01-17,Spurs,Bulls,92,87
122,2009-01-17,Heat,Rockets,86,93
123,2009-01-17,Jazz,Mavericks,108,115
124,2009-01-17,Magic,Nuggets,106,88
125,2009-01-17,Bucks,Clippers,92,101
126,2009-01-18,Suns,Raptors,117,113
127,2009-01-18,Heat,Thunder,104,94
128,2009-01-19,Bulls,Knicks,98,102
129,2009-01-19,Mavericks,76ers,95,93
130,2009-01-19,Raptors,Hawks,84,87
131,2009-01-19,Spurs,Bobcats,86,84
132,2009-01-19,Nuggets,Rockets,113,115
133,2009-01-19,Timberwolves,Clippers,94,86
134,2009-01-19,Pacers,Hornets,100,103
135,2009-01-19,Wizards,Warriors,98,119
136,2009-01-19,Pistons,Grizzlies,87,79
137,2009-01-19,Suns,Celtics,87,104
138,2009-01-19,Bucks,Trail Blazers,85,102
139,2009-01-19,Cavaliers,Lakers,88,105
140,2009-01-20,Hawks,Bulls,105,102
141,2009-01-20,Pacers,Spurs,81,99
142,2009-01-20,Kings,Nuggets,99,118
143,2009-01-20,Timberwolves,Jazz,107,112
144,2009-01-21,Grizzlies,Bobcats,86,101
145,2009-01-21,Raptors,Pistons,76,95
146,2009-01-21,Celtics,Heat,98,83
147,2009-01-21,Suns,Knicks,109,114
148,2009-01-21,Mavericks,Bucks,99,133
149,2009-01-21,Nets,Hornets,92,102
150,2009-01-21,Jazz,Rockets,99,108
151,2009-01-21,Cavaliers,Trail Blazers,104,98
152,2009-01-21,Wizards,Kings,110,107
153,2009-01-21,Thunder,Warriors,122,121
154,2009-01-21,Lakers,Clippers,108,97
155,2009-01-22,Celtics,Magic,90,80
156,2009-01-22,Wizards,Lakers,97,117
157,2009-01-23,Suns,Bobcats,76,98
158,2009-01-23,Mavericks,Pistons,112,91
159,2009-01-23,Rockets,Pacers,102,107
160,2009-01-23,Bucks,Hawks,87,117
161,2009-01-23,Grizzlies,Knicks,88,108
162,2009-01-23,Hornets,Timberwolves,108,116
163,2009-01-23,Raptors,Bulls,114,94
164,2009-01-23,Nets,Spurs,91,94
165,2009-01-23,Cavaliers,Warriors,106,105
166,2009-01-23,Thunder,Clippers,104,107
167,2009-01-24,Knicks,76ers,110,116
168,2009-01-24,Magic,Heat,97,103
169,2009-01-24,Nets,Grizzlies,99,88
170,2009-01-24,Kings,Bucks,104,106
171,2009-01-24,Cavaliers,Jazz,102,97
172,2009-01-24,Wizards,Trail Blazers,87,100
173,2009-01-25,Mavericks,Celtics,100,124
174,2009-01-25,Spurs,Lakers,85,99
175,2009-01-25,Suns,Hawks,104,99
176,2009-01-25,Kings,Raptors,97,113
177,2009-01-25,Rockets,Pistons,108,105
178,2009-01-25,Bobcats,Pacers,93,98
179,2009-01-25,Bulls,Timberwolves,108,109
180,2009-01-25,Jazz,Nuggets,97,117
181,2009-01-25,Clippers,Warriors,92,107
182,2009-01-26,Suns,Wizards,103,87
183,2009-01-26,Hawks,Heat,79,95
184,2009-01-26,Rockets,Knicks,98,104
185,2009-01-26,Timberwolves,Bucks,90,83
186,2009-01-26,76ers,Hornets,86,101
187,2009-01-26,Nets,Thunder,85,94
188,2009-01-26,Trail Blazers,Clippers,113,88
189,2009-01-27,Kings,Cavaliers,110,117
190,2009-01-27,Pacers,Magic,111,135
191,2009-01-27,Nuggets,Grizzlies,100,85
192,2009-01-27,Spurs,Jazz,106,100
193,2009-01-27,Bobcats,Lakers,117,110
194,2009-01-28,Bucks,Pacers,99,107
195,2009-01-28,Kings,Celtics,100,119
196,2009-01-28,Wizards,Heat,71,93
197,2009-01-28,Raptors,Nets,107,106
198,2009-01-28,Hawks,Knicks,104,112
199,2009-01-28,Pistons,Timberwolves,98,89
200,2009-01-28,Nuggets,Hornets,81,94
201,2009-01-28,Grizzlies,Thunder,102,114
202,2009-01-28,76ers,Rockets,95,93
203,2009-01-28,Warriors,Mavericks,93,117
204,2009-01-28,Bobcats,Trail Blazers,74,88
205,2009-01-28,Bulls,Clippers,95,75
206,2009-01-29,Cavaliers,Magic,88,99
207,2009-01-29,Spurs,Suns,114,104
208,2009-01-30,Celtics,Pistons,86,78
209,2009-01-30,Heat,Pacers,103,114
210,2009-01-30,Wizards,76ers,94,104
211,2009-01-30,Bucks,Raptors,96,85
212,2009-01-30,Nets,Hawks,88,105
213,2009-01-30,Clippers,Cavaliers,95,112
214,2009-01-30,Lakers,Timberwolves,132,119
215,2009-01-30,Bobcats,Nuggets,99,110
216,2009-01-30,Thunder,Jazz,90,110
217,2009-01-30,Warriors,Hornets,91,87
218,2009-01-30,Bulls,Kings,109,88
219,2009-01-31,Knicks,Pacers,122,113
220,2009-01-31,Nets,76ers,85,83
221,2009-01-31,Mavericks,Heat,111,96
222,2009-01-31,Lakers,Grizzlies,115,98
223,2009-01-31,Clippers,Wizards,94,106
224,2009-01-31,Warriors,Rockets,93,110
225,2009-01-31,Hawks,Bucks,107,110
226,2009-01-31,Hornets,Spurs,93,106
227,2009-01-31,Bulls,Suns,122,111
228,2009-01-31,Jazz,Trail Blazers,108,122
229,2009-02-01,Timberwolves,Celtics,101,109
230,2009-02-01,Magic,Raptors,113,90
231,2009-02-01,Cavaliers,Pistons,90,80
232,2009-02-01,Thunder,Kings,118,122
233,2009-02-02,Mavericks,Magic,105,95
234,2009-02-02,Grizzlies,Wizards,113,97
235,2009-02-02,Clippers,Heat,95,119
236,2009-02-02,Lakers,Knicks,126,117
237,2009-02-02,Trail Blazers,Hornets,97,89
238,2009-02-02,Kings,Suns,81,129
239,2009-02-02,Bobcats,Jazz,86,105
240,2009-02-02,Spurs,Warriors,110,105
241,2009-02-03,Raptors,Cavaliers,83,101
242,2009-02-03,Timberwolves,Pacers,116,111
243,2009-02-03,Celtics,76ers,100,99
244,2009-02-03,Bucks,Nets,85,99
245,2009-02-03,Bulls,Rockets,100,107
246,2009-02-03,Spurs,Nuggets,96,104
247,2009-02-04,Clippers,Magic,96,125
248,2009-02-04,Lakers,Raptors,115,107
249,2009-02-04,Nets,Wizards,115,88
250,2009-02-04,Heat,Pistons,90,93
251,2009-02-04,Cavaliers,Knicks,107,102
252,2009-02-04,Rockets,Grizzlies,93,104
253,2009-02-04,Hawks,Timberwolves,94,86
254,2009-02-04,Bulls,Hornets,107,93
255,2009-02-04,Nuggets,Thunder,114,113
256,2009-02-04,Trail Blazers,Mavericks,99,104
257,2009-02-04,Suns,Warriors,112,124
258,2009-02-05,Pacers,76ers,94,99
259,2009-02-05,Lakers,Celtics,110,109
260,2009-02-05,Mavericks,Jazz,87,115
261,2009-02-06,Hawks,Bobcats,102,97
262,2009-02-06,Magic,Pacers,102,107
263,2009-02-06,Celtics,Knicks,110,100
264,2009-02-06,Clippers,Grizzlies,126,105
265,2009-02-06,Raptors,Hornets,92,101
266,2009-02-06,Trail Blazers,Thunder,93,102
267,2009-02-06,Nuggets,Wizards,124,103
268,2009-02-06,Jazz,Kings,111,107
269,2009-02-06,Warriors,Suns,105,115
270,2009-02-07,Clippers,Hawks,121,97
271,2009-02-07,Heat,76ers,84,94
272,2009-02-07,Nuggets,Nets,70,114
273,2009-02-07,Raptors,Grizzlies,70,78
274,2009-02-07,Bulls,Mavericks,114,115
275,2009-02-07,Timberwolves,Rockets,90,107
276,2009-02-07,Pistons,Bucks,126,121
277,2009-02-08,Spurs,Celtics,105,99
278,2009-02-08,Lakers,Cavaliers,101,91
279,2009-02-08,Bobcats,Heat,92,96
280,2009-02-08,Nets,Magic,84,101
281,2009-02-08,Knicks,Trail Blazers,108,109
282,2009-02-08,Pacers,Wizards,117,119
283,2009-02-08,Timberwolves,Hornets,97,101
284,2009-02-08,Kings,Thunder,113,116
285,2009-02-08,Suns,Pistons,107,97
286,2009-02-08,Jazz,Warriors,96,116
287,2009-02-09,Clippers,Bobcats,73,94
288,2009-02-09,Suns,76ers,91,108
289,2009-02-09,Hornets,Grizzlies,80,85
290,2009-02-09,Rockets,Bucks,112,124
291,2009-02-10,Wizards,Hawks,90,111
292,2009-02-10,Cavaliers,Pacers,95,96
293,2009-02-10,Nuggets,Heat,99,82
294,2009-02-10,Spurs,Nets,108,93
295,2009-02-10,Raptors,Timberwolves,110,102
296,2009-02-10,Pistons,Bulls,102,107
297,2009-02-10,Kings,Mavericks,100,118
298,2009-02-10,Knicks,Warriors,127,144
299,2009-02-10,Thunder,Lakers,98,105
300,2009-02-11,Wizards,Bobcats,89,101
301,2009-02-11,Suns,Cavaliers,92,109
302,2009-02-11,Nuggets,Magic,82,73
303,2009-02-11,Grizzlies,76ers,87,91
304,2009-02-11,Spurs,Raptors,89,91
305,2009-02-11,Hawks,Pistons,99,95
306,2009-02-11,Pacers,Bucks,110,122
307,2009-02-11,Celtics,Hornets,89,77
308,2009-02-11,Kings,Rockets,82,94
309,2009-02-11,Lakers,Jazz,109,113
310,2009-02-11,Thunder,Trail Blazers,92,106
311,2009-02-11,Knicks,Clippers,124,128
312,2009-02-12,Heat,Bulls,95,93
313,2009-02-12,Celtics,Mavericks,99,92
314,2009-02-12,Trail Blazers,Warriors,98,105
315,2009-02-13,Rookies,Sophomores,116,122
316,2009-02-14,East,West,None,None
317,2009-02-14,East,West,None,None
318,2009-02-14,East,West,None,None
319,2009-02-14,East,West,None,None
320,2009-02-14,East,West,None,None
321,2009-02-15,East,West,119,146
322,2009-02-17,76ers,Pacers,91,100
323,2009-02-17,Bobcats,Magic,102,107
324,2009-02-17,Timberwolves,Wizards,103,111
325,2009-02-17,Bucks,Pistons,92,86
326,2009-02-17,Spurs,Knicks,107,112
327,2009-02-17,Hornets,Thunder,100,98
328,2009-02-17,Nets,Rockets,88,114
329,2009-02-17,Clippers,Suns,100,140
330,2009-02-17,Grizzlies,Jazz,99,117
331,2009-02-17,Hawks,Lakers,83,96
332,2009-02-18,Pacers,Bobcats,94,103
333,2009-02-18,Cavaliers,Raptors,93,76
334,2009-02-18,Nuggets,76ers,101,89
335,2009-02-18,Timberwolves,Heat,111,104
336,2009-02-18,Bulls,Bucks,113,104
337,2009-02-18,Magic,Hornets,85,117
338,2009-02-18,Nets,Mavericks,98,113
339,2009-02-18,Grizzlies,Trail Blazers,90,94
340,2009-02-18,Hawks,Kings,105,100
341,2009-02-18,Lakers,Warriors,129,121
342,2009-02-18,Suns,Clippers,142,119
343,2009-02-19,Spurs,Pistons,83,79
344,2009-02-19,Celtics,Jazz,85,90
345,2009-02-20,Magic,Bobcats,92,80
346,2009-02-20,Raptors,Knicks,97,127
347,2009-02-20,Kings,Grizzlies,115,106
348,2009-02-20,Pacers,Timberwolves,112,105
349,2009-02-20,Wizards,Nets,107,96
350,2009-02-20,Mavericks,Rockets,86,93
351,2009-02-20,Nuggets,Bulls,99,116
352,2009-02-20,Cavaliers,Bucks,111,103
353,2009-02-20,Thunder,Suns,118,140
354,2009-02-20,Hawks,Trail Blazers,98,108
355,2009-02-20,Hornets,Lakers,111,115
356,2009-02-21,76ers,Heat,91,97
357,2009-02-21,Spurs,Wizards,98,67
358,2009-02-21,Kings,Mavericks,95,116
359,2009-02-21,Hornets,Jazz,88,102
360,2009-02-21,Thunder,Warriors,120,133
361,2009-02-22,Bulls,Pacers,91,98
362,2009-02-22,Knicks,Raptors,100,111
363,2009-02-22,Celtics,Suns,128,108
364,2009-02-22,Bobcats,Rockets,78,99
365,2009-02-22,Nuggets,Bucks,117,120
366,2009-02-22,Heat,Magic,99,122
367,2009-02-22,Clippers,Trail Blazers,87,116
368,2009-02-22,Lakers,Timberwolves,111,108
369,2009-02-22,Pistons,Cavaliers,78,99
370,2009-02-23,76ers,Nets,96,98
371,2009-02-23,Pacers,Knicks,119,123
372,2009-02-23,Celtics,Nuggets,114,76
373,2009-02-23,Hawks,Jazz,89,108
374,2009-02-23,Hornets,Kings,112,105
375,2009-02-23,Warriors,Clippers,105,118
376,2009-02-24,Grizzlies,Cavaliers,79,94
377,2009-02-24,Timberwolves,Raptors,110,118
378,2009-02-24,Pistons,Heat,91,103
379,2009-02-24,Magic,Bulls,102,120
380,2009-02-24,Lakers,Thunder,107,93
381,2009-02-24,Trail Blazers,Rockets,94,98
382,2009-02-24,Mavericks,Spurs,76,93
383,2009-02-24,Bobcats,Suns,102,112
384,2009-02-25,Grizzlies,Pacers,99,104
385,2009-02-25,76ers,Wizards,106,98
386,2009-02-25,Bulls,Nets,99,111
387,2009-02-25,Magic,Knicks,114,109
388,2009-02-25,Jazz,Timberwolves,120,103
389,2009-02-25,Pistons,Hornets,87,90
390,2009-02-25,Bucks,Mavericks,96,116
391,2009-02-25,Trail Blazers,Spurs,84,99
392,2009-02-25,Hawks,Nuggets,109,110
393,2009-02-25,Bobcats,Kings,98,91
394,2009-02-25,Celtics,Clippers,91,93
395,2009-02-26,Cavaliers,Rockets,74,93
396,2009-02-26,Suns,Lakers,106,132
397,2009-02-27,Pistons,Magic,93,85
398,2009-02-27,Bulls,Wizards,90,113
399,2009-02-27,Heat,Hawks,83,91
400,2009-02-27,Pacers,Celtics,99,104
401,2009-02-27,76ers,Knicks,108,103
402,2009-02-27,Bucks,Hornets,94,95
403,2009-02-27,Trail Blazers,Timberwolves,102,82
404,2009-02-27,Thunder,Mavericks,108,110
405,2009-02-27,Lakers,Nuggets,79,90
406,2009-02-27,Raptors,Suns,113,133
407,2009-02-27,Cavaliers,Spurs,97,86
408,2009-02-27,Clippers,Kings,86,98
409,2009-02-27,Bobcats,Warriors,112,109
410,2009-02-28,Magic,76ers,106,100
411,2009-02-28,Knicks,Heat,115,120
412,2009-02-28,Thunder,Grizzlies,99,92
413,2009-02-28,Rockets,Bulls,102,105
414,2009-02-28,Wizards,Bucks,93,109
415,2009-02-28,Kings,Jazz,89,102
416,2009-02-28,Bobcats,Clippers,100,95
417,2009-03-01,Pistons,Celtics,105,95
418,2009-03-01,Lakers,Suns,111,118
419,2009-03-01,Hornets,Nets,99,96
420,2009-03-01,Nuggets,Pacers,94,100
421,2009-03-01,Rockets,Timberwolves,105,94
422,2009-03-01,Cavaliers,Hawks,88,87
423,2009-03-01,Spurs,Trail Blazers,84,102
424,2009-03-01,Raptors,Mavericks,98,109
425,2009-03-01,Jazz,Warriors,112,104
426,2009-03-02,Hornets,76ers,98,91
427,2009-03-02,Hawks,Wizards,98,89
428,2009-03-02,Cavaliers,Heat,107,100
429,2009-03-02,Mavericks,Thunder,87,96
430,2009-03-02,Spurs,Clippers,106,78
431,2009-03-03,Bulls,Bobcats,80,96
432,2009-03-03,Suns,Magic,99,111
433,2009-03-03,Nuggets,Pistons,95,100
434,2009-03-03,Nets,Bucks,99,95
435,2009-03-03,Warriors,Timberwolves,118,94
436,2009-03-03,Raptors,Rockets,97,107
437,2009-03-03,Pacers,Kings,117,109
438,2009-03-03,Grizzlies,Lakers,89,99
439,2009-03-04,Bucks,Cavaliers,73,91
440,2009-03-04,Suns,Heat,129,135
441,2009-03-04,Celtics,Nets,115,111
442,2009-03-04,Hawks,Knicks,105,109
443,2009-03-04,Wizards,Thunder,83,88
444,2009-03-04,Warriors,Bulls,88,110
445,2009-03-04,Spurs,Mavericks,102,107
446,2009-03-04,Rockets,Jazz,94,101
447,2009-03-04,Pacers,Trail Blazers,105,107
448,2009-03-04,Grizzlies,Clippers,118,95
449,2009-03-05,Mavericks,Hornets,88,104
450,2009-03-05,Trail Blazers,Nuggets,90,106
451,2009-03-06,Hawks,Bobcats,91,98
452,2009-03-06,Nets,Magic,102,105
453,2009-03-06,Heat,Raptors,108,102
454,2009-03-06,Cavaliers,Celtics,94,105
455,2009-03-06,Warriors,Pistons,91,108
456,2009-03-06,Bucks,Bulls,102,117
457,2009-03-06,Suns,Rockets,112,116
458,2009-03-06,Wizards,Spurs,78,100
459,2009-03-06,Timberwolves,Lakers,90,110
460,2009-03-06,Nuggets,Jazz,91,97
461,2009-03-07,Pistons,Hawks,83,87
462,2009-03-07,Heat,Cavaliers,89,99
463,2009-03-07,Bobcats,Knicks,114,105
464,2009-03-07,76ers,Grizzlies,110,105
465,2009-03-07,Thunder,Hornets,90,108
466,2009-03-07,Wizards,Mavericks,103,119
467,2009-03-07,Warriors,Bucks,120,127
468,2009-03-07,Timberwolves,Trail Blazers,93,95
469,2009-03-07,Pacers,Clippers,106,105
470,2009-03-08,Jazz,Raptors,109,101
471,2009-03-08,Magic,Celtics,86,79
472,2009-03-08,Suns,Spurs,98,103
473,2009-03-08,Knicks,Nets,101,106
474,2009-03-08,Grizzlies,Rockets,83,93
475,2009-03-08,76ers,Thunder,74,89
476,2009-03-08,Nuggets,Kings,106,114
477,2009-03-09,Hornets,Hawks,79,89
478,2009-03-09,Magic,Pistons,94,98
479,2009-03-09,Bulls,Heat,127,130
480,2009-03-09,Wizards,Timberwolves,110,99
481,2009-03-09,Rockets,Nuggets,97,95
482,2009-03-09,Lakers,Trail Blazers,94,111
483,2009-03-10,Jazz,Pacers,112,100
484,2009-03-10,Knicks,Bucks,120,112
485,2009-03-10,Bobcats,Spurs,86,100
486,2009-03-10,Mavericks,Suns,122,117
487,2009-03-10,Thunder,Kings,99,98
488,2009-03-10,Cavaliers,Clippers,87,83
489,2009-03-11,Jazz,Hawks,93,100
490,2009-03-11,Bulls,Magic,79,107
491,2009-03-11,Raptors,76ers,106,115
492,2009-03-11,Hornets,Wizards,109,98
493,2009-03-11,Knicks,Pistons,116,111
494,2009-03-11,Celtics,Heat,99,107
495,2009-03-11,Grizzlies,Timberwolves,79,104
496,2009-03-11,Lakers,Rockets,102,96
497,2009-03-11,Thunder,Nuggets,99,112
498,2009-03-11,Mavericks,Trail Blazers,93,89
499,2009-03-11,Nets,Warriors,112,116
500,2009-03-12,Lakers,Spurs,102,95
501,2009-03-12,Cavaliers,Suns,119,111
502,2009-03-13,Rockets,Bobcats,91,86
503,2009-03-13,Bulls,76ers,101,104
504,2009-03-13,Pistons,Raptors,99,95
505,2009-03-13,Magic,Wizards,112,103
506,2009-03-13,Pacers,Hawks,87,101
507,2009-03-13,Grizzlies,Celtics,92,102
508,2009-03-13,Knicks,Timberwolves,102,94
509,2009-03-13,Hornets,Bucks,95,86
510,2009-03-13,Nets,Trail Blazers,100,109
511,2009-03-13,Cavaliers,Kings,126,123
512,2009-03-13,Mavericks,Warriors,110,119
513,2009-03-14,Jazz,Heat,129,140
514,2009-03-14,Bobcats,Timberwolves,100,108
515,2009-03-14,Hornets,Bulls,79,97
516,2009-03-14,Spurs,Rockets,88,85
517,2009-03-14,Clippers,Nuggets,94,107
518,2009-03-14,Thunder,Suns,95,106
519,2009-03-15,Pacers,Raptors,87,110
520,2009-03-15,Trail Blazers,Hawks,80,98
521,2009-03-15,Grizzlies,Pistons,89,84
522,2009-03-15,Celtics,Bucks,77,86
523,2009-03-15,Heat,76ers,77,85
524,2009-03-15,Mavericks,Lakers,100,107
525,2009-03-15,Knicks,Cavaliers,93,98
526,2009-03-15,Jazz,Magic,87,105
527,2009-03-15,Kings,Wizards,104,106
528,2009-03-15,Suns,Warriors,154,130
529,2009-03-15,Nets,Clippers,105,107
530,2009-03-16,Raptors,Bobcats,86,112
531,2009-03-16,Trail Blazers,Grizzlies,103,92
532,2009-03-16,Rockets,Hornets,95,84
533,2009-03-16,Spurs,Thunder,76,78
534,2009-03-16,Nets,Nuggets,96,121
535,2009-03-17,Kings,Hawks,97,119
536,2009-03-17,Magic,Cavaliers,93,97
537,2009-03-17,Celtics,Bulls,121,127
538,2009-03-17,Pistons,Mavericks,101,103
539,2009-03-17,Timberwolves,Spurs,86,93
540,2009-03-17,Wizards,Jazz,88,103
541,2009-03-17,Clippers,Warriors,120,127
542,2009-03-17,76ers,Lakers,94,93
543,2009-03-18,Heat,Celtics,108,112
544,2009-03-18,Kings,Bobcats,88,104
545,2009-03-18,Trail Blazers,Pacers,95,85
546,2009-03-18,Nets,Knicks,115,89
547,2009-03-18,Nuggets,Grizzlies,111,109
548,2009-03-18,Magic,Bucks,106,80
549,2009-03-18,Timberwolves,Hornets,93,94
550,2009-03-18,Bulls,Thunder,103,96
551,2009-03-18,Pistons,Rockets,101,106
552,2009-03-18,76ers,Suns,116,126
553,2009-03-18,Wizards,Clippers,108,123
554,2009-03-19,Mavericks,Hawks,87,95
555,2009-03-19,Trail Blazers,Cavaliers,92,97
556,2009-03-19,Warriors,Lakers,106,114
557,2009-03-20,Mavericks,Pacers,94,92
558,2009-03-20,Bobcats,Raptors,102,89
559,2009-03-20,Heat,Nets,88,96
560,2009-03-20,Kings,Knicks,121,94
561,2009-03-20,Clippers,Pistons,90,108
562,2009-03-20,Grizzlies,Hornets,84,96
563,2009-03-20,Jazz,Thunder,101,94
564,2009-03-20,Timberwolves,Rockets,88,107
565,2009-03-20,Celtics,Spurs,80,77
566,2009-03-20,Wizards,Nuggets,105,116
567,2009-03-20,76ers,Warriors,111,119
568,2009-03-21,Hawks,Cavaliers,96,102
569,2009-03-21,Pacers,Bobcats,108,83
570,2009-03-21,Knicks,Magic,103,110
571,2009-03-21,Celtics,Grizzlies,105,87
572,2009-03-21,Lakers,Bulls,117,109
573,2009-03-21,Trail Blazers,Bucks,96,84
574,2009-03-21,Wizards,Suns,96,128
575,2009-03-22,Heat,Pistons,101,96
576,2009-03-22,Rockets,Spurs,87,85
577,2009-03-22,Thunder,Timberwolves,97,90
578,2009-03-22,Clippers,Raptors,76,100
579,2009-03-22,Cavaliers,Nets,96,88
580,2009-03-22,Warriors,Hornets,89,99
581,2009-03-22,76ers,Kings,112,100
582,2009-03-23,Timberwolves,Hawks,97,109
583,2009-03-23,Bulls,Wizards,101,99
584,2009-03-23,Clippers,Celtics,77,90
585,2009-03-23,Grizzlies,Heat,82,94
586,2009-03-23,Magic,Knicks,106,102
587,2009-03-23,Nuggets,Suns,115,118
588,2009-03-23,76ers,Trail Blazers,114,108
589,2009-03-24,Pistons,Bulls,91,99
590,2009-03-24,Lakers,Thunder,107,89
591,2009-03-24,Warriors,Spurs,106,107
592,2009-03-24,Rockets,Jazz,86,99
593,2009-03-25,Spurs,Hawks,102,92
594,2009-03-25,Nets,Cavaliers,87,98
595,2009-03-25,Heat,Pacers,88,90
596,2009-03-25,Timberwolves,76ers,88,96
597,2009-03-25,Bucks,Raptors,106,115
